key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1075120265,Comparison of time required to charge a battery in a stand-alone photovoltaic system using different charge-controller types - NCPV PHOTOVOLTAICS PROGRAM REVIEW: PROCEEDINGS OF THE 15TH CONFERENCE,1999,,,,0094-243X,462,,605-610,"McNutt, P",,,,,,"15th Program Review Meeting of the National-Center-for-Photovoltaics, DENVER, CO, SEP 09-11, 1998 | RAYYAN-INCLUSION: {""Manoella""=>""Included"", ""Rodrigo""=>""Included""}",,"",,
rayyan-1075120276,Charging Characteristics of Solar Panels with Charging System Using Pulse Width Modulation Control,2021,,,"7th International Conference on Electrical, Electronics and Information Engineering: Technological Breakthrough for Greater New Life, ICEEIE 2021",,,,,"Faiz, M.R. and Kusumaningdyah, J.S. and Razak, F.I.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123608996&doi=10.1109%2fICEEIE52663.2021.9616865&partnerID=40&md5=d0017da210787b2b04265b1b6b9f5796,,,,,"Export Date: 03 September 2023; Cited By: 0 | RAYYAN-INCLUSION: {""Manoella""=>""Included""}",10.1109/ICEEIE52663.2021.9616865,Fast Charging;PWM;Solar Panel;Charging (batteries);Lead acid batteries;Renewable energy resources;Solar concentrators;Solar panels;Voltage control;'current;Charging characteristics;Charging systems;Energy;Fast charging;Power;Pulse width modulation control;Pulsewidth modulations (PWM);Solar charge controller;Pulse width modulation,,
rayyan-1075120283,System dynamic model and charging control of lead-acid battery for stand-alone solar PV system,2010,,,Solar Energy,,84,5,822-830,"Huang, B.J. and Hsu, P.C. and Wu, M.S. and Ho, P.Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949912387&doi=10.1016%2fj.solener.2010.02.007&partnerID=40&md5=377ae6f15554b30a61f790b7226a40be,,,,,"Export Date: 03 September 2023; Cited By: 43 | RAYYAN-INCLUSION: {""Manoella""=>""Included"", ""Rodrigo""=>""Included""}",10.1016/j.solener.2010.02.007,Battery charge control;Dynamic modelling of battery;Lead-acid battery modelling;Stand-alone solar system;Acids;Adaptive control systems;Astronomy;Disturbance rejection;Feedback control;Primary batteries;Solar equipment;Solar system;Voltage regulators;Battery voltages;Charge control;Charging control;Charging techniques;Electricity supply;First order systems;LED lighting system;Operating points;Service time;Set-point;Solar irradiation;Solar PV systems;Stand -alone;Storage energy;System dynamic models;System Dynamics;System-based;Test results;algorithm;electricity supply;experimental study;irradiation;lead;model test;photovoltaic system;solar power;solar system;storage tank;Charging (batteries),,
rayyan-1075120286,Effect of the MPPT and SOC control of the charge controller in PV systems,2015,,,"2015 17th European Conference on Power Electronics and Applications, EPE-ECCE Europe 2015",,,,,"Dufo-Lopez, R. and Artal-Sevil, J.S. and Bernal-Agustin, J.L. and Dominguez-Navarro, J.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965066036&doi=10.1109%2fEPE.2015.7309079&partnerID=40&md5=8af19545065fc6bee51056938ab929c0,,,,,"Export Date: 03 September 2023; Cited By: 2 | RAYYAN-INCLUSION: {""Manoella""=>""Included""}",10.1109/EPE.2015.7309079,Batteries;Battery charger;Battery Management Systems (BMS);Energy storage;Photovoltaic;Charging (batteries);Controllers;Electric batteries;Lead acid batteries;Maximum power point trackers;Power electronics;Secondary batteries;Solar cells;Battery chargers;Charge controllers;Maximum Power Point Tracking;PV system;State of charge;Battery management systems,,
rayyan-1075120287,"Design, Simulation and Comparative Analysis of Different Types of Solar Charge Controllers for Optimized Efficiency",2019,,,"Proceedings - 2019 Women Institute of Technology Conference on Electrical and Computer Engineering, WITCON ECE 2019",,,,17-21,"Victor, A. and Mahato, D.K. and Pundir, A. and Saxena, G.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085568851&doi=10.1109%2fWITCONECE48374.2019.9092912&partnerID=40&md5=a51260a057cd84e3f4a222808adc0098,,,,,"Export Date: 03 September 2023; Cited By: 1 | RAYYAN-INCLUSION: {""Manoella""=>""Included""}",10.1109/WITCONECE48374.2019.9092912,MPPT (Maximum Power Point Tracking);PV(Photovoltaic);PWM (Pulse Width Modulation);Charging (batteries);Lead acid batteries;MATLAB;Maximum power point trackers;Photovoltaic cells;Professional aspects;Pulse width modulation;Solar power generation;Voltage control;Voltage regulators;Charge controllers;Comparative analysis;MATLAB /simulink;Maximum Power Point Tracking;Nonlinear characteristics;Operating temperature;Photovoltaic;Solar charge controller;Controllers,,
rayyan-1075120288,Study of PWM Solar Charge Controller Operation Modes in Autonomous DC System,2019,,,"2019 International Conference on High Technology for Sustainable Development, HiTech 2019",,,,,"Antonov, I. and Kanchev, H. and Hinov, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091342863&doi=10.1109%2fHiTech48507.2019.9128280&partnerID=40&md5=52ee32e2ef5636669064a63456d69d94,,,,,"Export Date: 03 September 2023; Cited By: 4 | RAYYAN-INCLUSION: {""Manoella""=>""Included""}",10.1109/HiTech48507.2019.9128280,autonomous PV system;DC converter;education;laboratory.;PWM solar controller;Controllers;Lead acid batteries;Photovoltaic cells;Planning;Sustainable development;Battery condition;Charge controllers;Laboratory exercise;Laboratory test;Operation mode;Solar charge controller;Solar controller;Stand-alone PV systems;Pulse width modulation,,
rayyan-1075127894,Comparison of NARX and dual polarization models for estimation of the VRLA battery charging/discharging dynamics in pulse cycle,2018,,,Energies,,11,11,,"Chmielewski, A. and Mozaryn, J. and Piórkowski, P. and Bogdziński, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057347442&doi=10.3390%2fen11113160&partnerID=40&md5=713ed66adb05f841a214fc5c38d80146,,,,,"Export Date: 03 September 2023; Cited By: 3 | RAYYAN-INCLUSION: {""Rodrigo""=>""Included""}",10.3390/en11113160,Identification;NARX neural network;Pulse cycle;VRLA battery;Charging (batteries);Equivalent circuits;Identification (control systems);Lead acid batteries;Polarization;Recurrent neural networks;Renewable energy resources;Absorbent glass mats;Battery Managements Systems;Experimental research;Renewable energy source;Valve regulated lead acids;Battery management systems,,
rayyan-1075127895,Augmented system model-based online collaborative determination of lead–acid battery states for energy management of vehicles,2021,,,Measurement and Control (United Kingdom),,54,1,88-101,"Wang, Y. and Huang, F. and Pan, B. and Li, Y. and Liu, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098890492&doi=10.1177%2f0020294020983376&partnerID=40&md5=618d7f09e5eaecc31c4917dd074a7294,,,,,"Export Date: 03 September 2023; Cited By: 4 | RAYYAN-INCLUSION: {""Manoella""=>""Included""}",10.1177/0020294020983376,collaborative determination;Energy management system;linear augmented system;parameters of lead–acid battery;state of charge;state of health;Adaptive filters;Charging (batteries);Circuit simulation;Decision making;Energy management systems;Lithium batteries;Open circuit voltage;Adaptive kalman filter;Battery charging and discharging;Collaborative estimation;Coupling relationships;Instantaneous correlation factors;Internal combustion engine vehicles;Linear relationships;Reliability and safeties;Battery management systems,,
rayyan-1075127896,Dynamic model of battery charging,2016,,,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",,2016,,,"Akbar, N. and Islam, M. and Ahmed, S.S. and Hye, A.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962190528&doi=10.1109%2fTENCON.2015.7372996&partnerID=40&md5=74faf2cac0fbf50880841ac10e0f17b0,,,,,"Export Date: 03 September 2023; Cited By: 4 | RAYYAN-INCLUSION: {""Rodrigo""=>""Included""}",10.1109/TENCON.2015.7372996,Battery charging;Dynamic modelling;Generic battery model;Open circuit voltage;State of charge;Battery management systems;Dynamic models;Electric batteries;Electric power transmission networks;Energy resources;Hydrides;Lead acid batteries;Lithium alloys;Lithium-ion batteries;Nickel metal hydride batteries;Reconfigurable hardware;Secondary batteries;Smart power grids;Battery modeling;Constant current;Corresponding state;Distributed Energy Resources;Emergency power source;Generic modeling;Nickel metal hydride;Charging (batteries),,
rayyan-1075127900,A magnetically coupled feedback-clamped optimal bidirectional battery charger,2013,,,IEEE Transactions on Industrial Electronics,,60,2,422-432,"Singh, R.K. and Mishra, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866541873&doi=10.1109%2fTIE.2012.2186776&partnerID=40&md5=a92bf6f41e25d9aac57f06479a77f5fd,,,,,"Export Date: 03 September 2023; Cited By: 69 | RAYYAN-INCLUSION: {""Rodrigo""=>""Included""}",10.1109/TIE.2012.2186776,Battery charger;constant current (CC);constant voltage (CV);state of charge (SOC);Lead acid batteries;Optimization;Switching circuits;Battery chargers;Battery state of charge;Battery voltages;Bidirectional converter (BDC);Boost mode;Buck mode;C-V mode;Charging current;Constant current;Constant voltage;Control loop;Current sources;Maximum Efficiency;Output current;Output voltages;Regulation loops;Smooth transitions;State of charge;Voltage ratings;Voltage source;Charging (batteries),,
